source_row,tweet,tweet_label,_label_norm,keyword,subjects,subjects_scored,stance,stance_reason 
21743,Why Mahatma Gandhi would have almost certainly stayed away from a power packed Ram Mandir ceremony in Ayodhya but been in conflicted Kashmir or flood hit Assam or amongst migrants instead! @sagarikaghose Sunday column is an imaginary letter to Bapu! https://t.co/DoA5d5o8qD,Pro OPP,pro opposition,ram mandir,"['kashmir', 'stayed', 'column']","[{'text': 'kashmir', 'score': 0.4804}, {'text': 'stayed', 'score': 0.2092}, {'text': 'column', 'score': 0.049}]",Against ,shows how Gandhi would not have supported ram mandir. 
750539,Delimitation &amp; Hindu CM is the plan rest all is theater.Enjoy the show one should be politically naive to think that the Duo who gave next to impossible 370 &amp; Ram Mandir in the 1st year of 2nd term will stop after that. Many more surprises will be unveiled before the summer 2024.,Pro Ruling,pro ruling,ram mandir,"['theater', 'hindu', '2024']","[{'text': 'theater', 'score': 0.4323}, {'text': 'hindu', 'score': 0.3946}, {'text': '2024', 'score': 0.3184}]",For ,"expressed pride in modi and ram mandir, calls it impossible. "
689059,"In the #MoodOfTheNation poll, the Modi govt’s biggest achievement is seen as Ram Mandir/article 370;  biggest failing is seen as unemployment and price rise. Net net: govt scores on its Hindutva ideological agenda, loses out on bread and butter issues. https://t.co/kjQ4BrCoJa",Pro OPP,pro opposition,ram mandir,"['govt', 'scores', 'hindutva']","[{'text': 'govt', 'score': 0.4515}, {'text': 'scores', 'score': 0.3799}, {'text': 'hindutva', 'score': 0.3605}]",Against ,shows how government focuses on hindutva ideological agenda through ram mandir but does not focus on basic stuff like education and health. 
2774776,"As our 500 year old dream of bhavya &amp; divya Ram Mandir is coming true, I recall the wonderful days of Ram Mandir Nidhi Samarpan, when we went from house to house to collect Nidhi; the emotions of people were overwhelming 

Thanks @narendramodi ji for reviving our civilisation🙏🙏 https://t.co/LwPAlO3KYq https://t.co/Z4UIrMwSMY",Pro Ruling,pro ruling,ram mandir,"['narendramodi', 'emotions', 'reviving']","[{'text': 'narendramodi', 'score': 0.6804}, {'text': 'emotions', 'score': 0.4018}, {'text': 'reviving', 'score': 0.3287}]",For ,thanks modi for ram mandir. 
799376,"Sanitation workers in UP's Shahjahanpur held protest alleging that they were ""forced"" to pay for construction of Ram Mandir in Ayodhya, reports @KanwardeepsTOI https://t.co/R59eIog9YS",Pro OPP,pro opposition,ram mandir,"['workers', 'protest', 'ayodhya']","[{'text': 'workers', 'score': 0.4845}, {'text': 'protest', 'score': 0.3384}, {'text': 'ayodhya', 'score': 0.2129}]",Against ,shows the dirty politics behind ram mandir and its hypocricy. 
1071779,Nothing wrong if Priyanka Gandhi  begins her speech with a shlok or if Kejriwal does Hanuman Chalisa. But then people shouldn't object to use of Allahu Akbar either. Also support for Ram Mandir is different from general Hindu religiosity as it is a reminder of an act of injustice,Pro OPP,pro opposition,ram mandir,"['hindu', 'general', 'nothing']","[{'text': 'hindu', 'score': 0.5246}, {'text': 'general', 'score': 0.1344}, {'text': 'nothing', 'score': 0.054}]",Against,calls ram mandir an act of injustice 
345585,"Fundraising Campaign For Bhavya Ram Mandir To Start From 14 January As Trust Plans To Reach 55 Crore Hindus

https://t.co/I1oTA2NzMu",Pro Ruling,pro ruling,ram mandir,"['fundraising', 'hindus', 'start']","[{'text': 'fundraising', 'score': 0.4667}, {'text': 'hindus', 'score': 0.4002}, {'text': 'start', 'score': 0.2881}]",For ,shows how ram mandir would read 55 crore hindus. 
290810,"Did Congress play a Me too card on Ram Mandir? @shashitharoor has this to say on Hinduism Vs Hindutva. But he also has a view on PM @NarendraModi beard for the big moment. ""He wanted to appear a Rishi Raj, to say I am sage, I am warrior""- Full intvw coming to @themojo_in https://t.co/75zPTWDe9h",Pro OPP,pro opposition,ram mandir,"['hindutva', 'beard', 'card']","[{'text': 'hindutva', 'score': 0.5967}, {'text': 'beard', 'score': 0.2319}, {'text': 'card', 'score': 0.2012}]",Against,shows dirty politics around ram mandir. 
791870,"I asked him kyun? He said, ""mein tho kah raha hoon kya hasil hua Ram mandir babari karke wahan Oxygen mil raha hai kya? kuch nahi sahab ham mein na hindu hu na muslim jo hospital dega bas usko hi vote aur kisi ko nahi'",Pro OPP,pro opposition,ram mandir,"['kya', 'hindu', 'oxygen']","[{'text': 'kya', 'score': 0.5066}, {'text': 'hindu', 'score': 0.4043}, {'text': 'oxygen', 'score': 0.1424}]",Against ,shows how public health during a pandemic is being neglected for ram mandir. 
2042957,@UnSubtleDesi It’s post Ram Mandir Hindu #NewHinduAssertiveHindu,Pro Ruling,pro ruling,ram mandir,"['hindu', 'assertive', 'new']","[{'text': 'hindu', 'score': 0.8013}, {'text': 'assertive', 'score': 0.3434}, {'text': 'new', 'score': 0.2934}]",For ,"shows how post ram mandir, hindus will learn to be more assertive. "
707530,"Jharkhand: 7 leaders of NSUI, student wing of Congress, were expelled for 3 years for posting ‘Jai Shri Ram’ on the party’s official WhatsApp group.

NSUI said it's anti-party activity.

If so, then why NSUI launched fund-raising drive in Rajasthan for Ram Mandir in Ayodhya?",Pro Ruling,pro ruling,ram mandir,"['jharkhand', 'expelled', 'congress']","[{'text': 'jharkhand', 'score': 0.4144}, {'text': 'expelled', 'score': 0.2972}, {'text': 'congress', 'score': 0.2677}]",For ,shows hypocric of ram mandir critics. 
22847,"‘Today is real acche din because even the Cong wants a Ram Mandir now’ @sambitswaraj  ‘Ram belongs to all..’ @SupriyaShrinate ‘build an India based on ideals of Ram, not Nathuram..’ @SudheenKulkarni..  https://t.co/EOqPCzTm4H @IndiaToday #RamMandirDebate",Pro OPP,pro opposition,ram mandir,"['ram', 'indiatoday', 'real']","[{'text': 'ram', 'score': 0.5664}, {'text': 'indiatoday', 'score': 0.5225}, {'text': 'real', 'score': 0.2353}]",For ,shows how everyone supports ram mandir. 
439770,"Chalo ji... Ram Mandir bhi aa gaya farmers protest mein.

Ab bas dawood aur Al qaida bhi le aayen toh baat khatam ho https://t.co/lQLjwBXxNa",Pro OPP,pro opposition,ram mandir,"['mandir', 'protest', 'farmers']","[{'text': 'mandir', 'score': 0.5093}, {'text': 'protest', 'score': 0.4651}, {'text': 'farmers', 'score': 0.4478}]",Against ,mocks modi and his politics on ram mandir. 
1934377,"Look at the names of candidates released by Congress &amp; Samajwadi party for UP elections

Read their names &amp; their past deeds

If these win, don't be surprised if Ram Mandir construction gets delayed!",Pro Ruling,pro ruling,ram mandir,"['elections', 'ram', 'delayed']","[{'text': 'elections', 'score': 0.584}, {'text': 'ram', 'score': 0.3217}, {'text': 'delayed', 'score': 0.3082}]",For ,expresses concern for ram mandir. 
428723,"""From its inception, the RSS's goal has been to create a Hindu India moulded to fit their image of a Hindu Rashtra. 

This project cannot be completed without trampling on the rights of the people.""

#RamMandir 

https://t.co/tJtIooH5ef",Pro OPP,pro opposition,ram mandir,"['hindu', 'rights', 'goal']","[{'text': 'hindu', 'score': 0.6495}, {'text': 'rights', 'score': 0.2869}, {'text': 'goal', 'score': 0.2647}]",Against ,shows how ram mandir and hindutva wishes to trample on the rights of people. 
2762226,"Saket Gokhale admits that Rahul Gandhi's Secretary Alankar Sawai paid him 23 lakhs cash for Social Media work.

Do you know what work Gokhale was doing?

- Gokhale filed PIL in SC to stop Ram Mandir Shilanyas
- Gokhale spread fake news on PM Cares, BEL
- Lied about Hardeep Puri https://t.co/qFhcUFLL5A",Pro Ruling,pro ruling,ram mandir,"['gokhale', 'paid', 'media']","[{'text': 'gokhale', 'score': 0.5001}, {'text': 'paid', 'score': 0.3354}, {'text': 'media', 'score': 0.2291}]",For ,shows dirty politics of critics of ram mandir. 
66635,"Yesterday when Hindus held a rally in Ujjain to collect funds for Ram Mandir construction,

Peaceful community pelted stones at them!

And now the houses of those stone pelters are demolished!

We need such actions in Ram Rajya🔥 https://t.co/E5SSfbXYiJ",Pro Ruling,pro ruling,ram mandir,"['hindus', 'rally', 'demolished']","[{'text': 'hindus', 'score': 0.572}, {'text': 'rally', 'score': 0.4095}, {'text': 'demolished', 'score': 0.3327}]",For ,shows how peaceful hindus are attacked. 
1247108,"Bhakton ke Demonetisation mein bhi paise phanse, GST mein bhi paise lage, Pandemic mein bhi dhandhe ka nuksaan hua, PM Cares mein donation bhi dena pada... Ram Mandir ka chanda bhi diye jaa rahe hai bechaare.

Aur social media pe cheekh ya ro bhi nahin sakte, bole to kisko! 😛",Pro OPP,pro opposition,ram mandir,"['mein', 'donation', 'pandemic']","[{'text': 'mein', 'score': 0.4917}, {'text': 'donation', 'score': 0.2546}, {'text': 'pandemic', 'score': 0.0799}]",Against ,shows how government is looting the people. 
8714,"AIMPLB hardly cares about SC's judgement on Ram Mandir

These people believe only in Sharia. That's why they're giving examples of Hagia Sophia which was converted into mosque

Threat of ""situations don't last forever"" by AIMPLB proves how much we need Uniform Civil Code in India",Pro Ruling,pro ruling,ram mandir,"['sharia', 'india', 'threat']","[{'text': 'sharia', 'score': 0.6125}, {'text': 'india', 'score': 0.2984}, {'text': 'threat', 'score': 0.1948}]",For ,shows dirty politics of critics of ram mandir. 
618328,"Will be live on India News @ 2.30 PM
 to 3.30 PM...Shri Ram Mandir..",Pro Ruling,pro ruling,ram mandir,"['india', 'live', 'ram']","[{'text': 'india', 'score': 0.4651}, {'text': 'live', 'score': 0.3672}, {'text': 'ram', 'score': 0.3406}]",For ,expresses pride and respect for ram mandir. 
373191,"PM Modi was personally monitoring:

📸1️⃣ECONOMY : Economy sunk

📸2️⃣CORONA: India is infected with 16Lacs Cases

📸3️⃣RAM MANDIR: priest and security personal infected with Corona

📸4️⃣RAFAEL: He chose to buy 36 scrapping a deal of 126. #TheRafaleFacts

PANAUTI KAHIN KA!!! https://t.co/26l7G18Tpr",Pro OPP,pro opposition,ram mandir,"['india', 'infected', 'scrapping']","[{'text': 'india', 'score': 0.5423}, {'text': 'infected', 'score': 0.3434}, {'text': 'scrapping', 'score': 0.1108}]",Against ,mocks modi and ram mandir. 
22851,Tonight: 9 pm: the big Ram Mandir debate: does Ram politics divide or unite? @OfficeOfKNath @asadowaisi @sambitswaraj @SupriyaShrinate @SudheenKulkarni join the debate.. @IndiaToday https://t.co/goqIwCbSi4,Pro OPP,pro opposition,ram mandir,"['ram', 'indiatoday', 'politics']","[{'text': 'ram', 'score': 0.5056}, {'text': 'indiatoday', 'score': 0.3958}, {'text': 'politics', 'score': 0.3642}]",Neutral ,"no stance taken, only news delivered "
287601,"‘BJP does not have  a patent on Ram.. BJP has used Ram Mandir for votes, it was Rajiv Gandhi who opened the lock to the site.’ @OfficeOfKNath tells me.. https://t.co/RJ6sspBWnG @IndiaToday",Pro OPP,pro opposition,ram mandir,"['ram', 'indiatoday', 'patent']","[{'text': 'ram', 'score': 0.4983}, {'text': 'indiatoday', 'score': 0.3632}, {'text': 'patent', 'score': 0.3406}]",Against ,shows how bjp is creating a patent on Lord ram and religion. 
195412,"The way all of India's political parties celebrating Modi's #RamMandirAyodhya at the place of illegally demolished Babri Mosque, time to ask a simple question!
Is there any political party left in India Muslims can trust?",Pro OPP,pro opposition,ram mandir,"['muslims', 'party', 'trust']","[{'text': 'muslims', 'score': 0.5133}, {'text': 'party', 'score': 0.4064}, {'text': 'trust', 'score': 0.2743}]",Against ,condemns political parties for celebrating ram mandir at the place of an illegally demolished mosque. 
462553,"After Begumbagh stone pelting, Hindu rally in Indore that was collecting donations for Ram Mandir attacked in front of a mosque  https://t.co/mAmr1Cirdx",Pro Ruling,pro ruling,ram mandir,"['hindu', 'rally', 'attacked']","[{'text': 'hindu', 'score': 0.5856}, {'text': 'rally', 'score': 0.548}, {'text': 'attacked', 'score': 0.3652}]",For ,shows how hindus are being attacked. 
878725,So @PTI_News ran a fake tweet saying  NSUI collecting funds for Ram Mandir where as NSUI was running a protest against RSS-BJP illegal and unaccounted fund collection https://t.co/pvXfUQa4Mo,Pro OPP,pro opposition,ram mandir,"['pti_news', 'protest', 'funds']","[{'text': 'pti_news', 'score': 0.4193}, {'text': 'protest', 'score': 0.3268}, {'text': 'funds', 'score': 0.3092}]",Neutral ,no stance taken on ram mandir. 
2896467,"Acharya Satyendra Das, the chief priest of the Ram Mandir in Ayodhya, has extended his solidarity to the #BharatJodoYatra by Rahul Gandhi. Will they call him anti-Hindu and anti-national?",Pro OPP,pro opposition,ram mandir,"['hindu', 'chief', 'solidarity']","[{'text': 'hindu', 'score': 0.6795}, {'text': 'chief', 'score': 0.2964}, {'text': 'solidarity', 'score': 0.2461}]",Neutral ,no stance taken on ram mandir. 
225728,"Finally architects to present #RamMandir 's layout plan, design to be largely same as per VHP with some tweaks which consists of parking, amenities for pilgrims, gaushala &amp; resting places
Will approach PM @narendramodi for Bhoomi poojan and plan to complete by RamNavami 2022. 🚩 https://t.co/47cFyO8T7X",Pro Ruling,pro ruling,ram mandir,"['design', 'narendramodi', 'parking']","[{'text': 'design', 'score': 0.5472}, {'text': 'narendramodi', 'score': 0.4603}, {'text': 'parking', 'score': 0.2169}]",For ,shows intricately detailed ram mandir. 
2483837,"CSIR is funded by taxpayers money.
Over 80% taxpayers are Hindus.

I’m happy that my tax is used here.

If the taxpayers money can be used for Haj Houses, Haj subsidies, Madrasa etc, why can’t a research be done out of it?

Remember: Ram Mandir is built by the donations of Hindus https://t.co/sRjWhubFis",Pro Ruling,pro ruling,ram mandir,"['hindus', 'taxpayers', 'if']","[{'text': 'hindus', 'score': 0.4848}, {'text': 'taxpayers', 'score': 0.4484}, {'text': 'if', 'score': 0.0234}]",For ,positive attitude. 
1835428,"16MAY 14: Bharat GETS PM Modi Ji.

2014-22:
Rammandir✅
Sheetal Nath temple(Kashmir)✅
Kedarnath Temple Revamp✅
Kashi Vishwanath Corridor✅
Char Dham Project✅

TODAY,16MAY 22: भोले बाबा मिल गए at Gyanvapi Masjid!

All""GOT DONE""USING Judiciary.

Modi has done Nothing for Hindus!",Pro Ruling,pro ruling,ram mandir,"['hindus', 'judiciary', 'nothing']","[{'text': 'hindus', 'score': 0.595}, {'text': 'judiciary', 'score': 0.2835}, {'text': 'nothing', 'score': 0.2006}]",For ,shows how modi delivers on every promise. 
